Stock Name,Country of Listing,Ticker,Margin Rate,Go Short?,Limited Risk Premium
2 Ergo Group Plc,UK,RGO.L,25%,Yes,1.00%
3i Group Plc,UK,III.L,15%,Yes,0.70%
3i Infrastructure Ltd,UK,3IN.L,20%,Yes,0.30%
3i Quoted Private Equity Limited,UK,QPE.L,25%,No,0.70%
4imprint Group Plc,UK,FOUR.L,25%,Yes,0.70%
600 Group Plc,UK,SIXH.L,45%,Yes,1.00%
888 Holdings Plc,UK,888.L,20%,Yes,0.70%
Abacus Group Plc,UK,ABU.L,25%,Yes,0.30%
Abbey PLC,UK,ABBY.L,75%,Yes,1.00%
Abcam PLC,UK,ABCA.L,30%,Yes,0.70%
Aberdeen Asian Income Fund,UK,AAIF.L,15%,Yes,0.30%
Aberdeen Asian Smaller Comp Inv Tst,UK,AAS.L,25%,Yes,0.70%
Aberdeen Asset Management Plc,UK,ADN.L,20%,Yes,0.70%
Aberdeen New Dawn Inv Tst,UK,ABD.L,15%,Yes,0.70%
Aberdeen New Thai Inv Tst,UK,ANW.L,30%,Yes,1.00%
Aberforth Smaller Companies Tst,UK,ASL.L,15%,Yes,0.30%
Ablon Group,UK,ABL.L,25%,No,0.70%
Absolute Capital Mngt Hldng,UK,ACMH.L,75%,No,1.00%
Absolute Return Trust Ltd,UK,ABRT.L,50%,Yes,0.70%
Acal Plc,UK,ACL.L,35%,Yes,0.70%
Accident Exchange Group Plc,UK,ACEX.L,25%,Yes,0.70%
Accsys Technologies Plc,UK,ACCS.L,20%,Yes,0.30%
Accuma Group Plc,UK,ACG.L,75%,Yes,1.00%
Acencia Debt Ltd,UK,ACD.L,25%,Yes,0.70%
Acertec Plc,UK,ACER.L,75%,Yes,1.00%
ACP Capital,UK,ACPC.L,25%,Yes,1.00%
ACTA S.P.A.,UK,ACTAq.L,75%,Yes,1.00%
Active Capital Trust Plc,UK,AIT.L,50%,Yes,0.30%
Admiral Group Plc,UK,ADML.L,15%,Yes,0.70%
Advance Developing Markets Tst Ord,UK,ADD.L,25%,Yes,0.70%
Advance UK Trust Plc,UK,ADU.L,25%,Yes,1.00%
Advanced Medical Solutions Group,UK,AMSU.L,25%,Yes,1.00%
Adventis Group Plc,UK,ADVG.L,45%,No,1.00%
ADVFN Plc,UK,AFN.L,35%,Yes,1.00%
AEA Technology Plc,UK,AAT.L,20%,Yes,0.30%
Aegis Group Plc,UK,AEGS.L,20%,Yes,0.30%
Aer Lingus Group (UK),UK,AERL.L,25%,Yes,0.30%
Aero Inventory Plc,UK,AI.L,25%,Yes,0.70%
